mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
"Vocational Schools, Nec",611512,Education,NonProfit and Education,611512 - Flight Training,Other Education,Flight Training
"Vocational Schools, Nec",611513,Education,NonProfit and Education,611513 - Apprenticeship Training,Other Education,Apprenticeship Training
"Vocational Schools, Nec",611519,Education,NonProfit and Education,611519 - Other Technical and Trade Schools,Other Education,Other Technical and Trade Schools
"Dance Studios, Schools, And Halls",611610,Education,NonProfit and Education,611610 - Fine Arts Schools,Other Education,Fine Arts Schools
"Amusement And Recreation, Nec",611620,Education,NonProfit and Education,611620 - Sports and Recreation Instruction,Other Education,Sports and Recreation Instruction
Schools And Educational Services,611630,Education,NonProfit and Education,611630 - Language Schools,Other Education,Language Schools
Schools And Educational Services,611691,Education,NonProfit and Education,611691 - Exam Preparation and Tutoring,Other Education,Exam Preparation and Tutoring
Schools And Educational Services,611692,Education,NonProfit and Education,611692 - Automobile Driving Schools,Other Education,Automobile Driving Schools
Schools And Educational Services,611699,Education,NonProfit and Education,611699 - All Other Miscellaneous Schools and Instruction,Other Education,All Other Miscellaneous Schools and Instruction
Schools And Educational Services,611710,Education,NonProfit and Education,611710 - Educational Support Services,Other Education,Educational Support Services
Offices And Clinics Of Medical Doctors,621111,Hospitals & Health Care Systems,Health Care,621111 - Offices of Physicians (except Mental Health Specialists),Physicians,Offices of Physicians (except Mental Health Specialists)
Offices And Clinics Of Medical Doctors,621112,Hospitals & Health Care Systems,Health Care,"621112 - Offices of Physicians, Mental Health Specialists",Behavioral Health,"Offices of Physicians, Mental Health Specialists"
Offices And Clinics Of Dentists,621210,Hospitals & Health Care Systems,Health Care,621210 - Offices of Dentists,Dental,Offices of Dentists
Offices And Clinics Of Chiropractors,621310,Hospitals & Health Care Systems,Health Care,621310 - Offices of Chiropractors,Physicians,Offices of Chiropractors
Offices And Clinics Of Optometrists,621320,Hospitals & Health Care Systems,Health Care,621320 - Offices of Optometrists,Physicians,Offices of Optometrists
Offices Of Health Practitioner,621330,Hospitals & Health Care Systems,Health Care,621330 - Offices of Mental Health Practitioners (except Physicians),Behavioral Health,Offices of Mental Health Practitioners (except Physicians)
Offices Of Health Practitioner,621340,Hospitals & Health Care Systems,Health Care,"621340 - Offices of Physical, Occupational and Speech Therapists, and Audiologists",Physicians,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
Offices And Clinics Of Podiatrists,621391,Hospitals & Health Care Systems,Health Care,621391 - Offices of Podiatrists,Physicians,Offices of Podiatrists
Offices Of Health Practitioner,621399,Hospitals & Health Care Systems,Health Care,621399 - Offices of All Other Miscellaneous Health Practitioners,Physicians,Offices of All Other Miscellaneous Health Practitioners
"Specialty Outpatient Clinics, Nec",621410,Hospitals & Health Care Systems,Health Care,621410 - Family Planning Centers,Outpatient & Community Services,Family Planning Centers
"Specialty Outpatient Clinics, Nec",621420,Hospitals & Health Care Systems,Health Care,621420 - Outpatient Mental Health and Substance Abuse Centers,Behavioral Health,Outpatient Mental Health and Substance Abuse Centers
Offices And Clinics Of Medical Doctors,621491,Hospitals & Health Care Systems,Health Care,621491 - HMO Medical Centers,Outpatient & Community Services,HMO Medical Centers
Kidney Dialysis Centers,621492,Hospitals & Health Care Systems,Health Care,621492 - Kidney Dialysis Centers,Outpatient & Community Services,Kidney Dialysis Centers
Offices And Clinics Of Medical Doctors,621493,Hospitals & Health Care Systems,Health Care,621493 - Freestanding Ambulatory Surgical and Emergency Centers,Outpatient & Community Services,Freestanding Ambulatory Surgical and Emergency Centers
"Specialty Outpatient Clinics, Nec",621498,Hospitals & Health Care Systems,Health Care,621498 - All Other Outpatient Care Centers,Outpatient & Community Services,All Other Outpatient Care Centers
Medical Laboratories,621511,Hospitals & Health Care Systems,Health Care,621511 - Medical Laboratories,Outpatient & Community Services,Medical Laboratories
Medical Laboratories,621512,Hospitals & Health Care Systems,Health Care,621512 - Diagnostic Imaging Centers,Outpatient & Community Services,Diagnostic Imaging Centers
Home Health Care Services,621610,Hospitals & Health Care Systems,Health Care,621610 - Home Health Care Services,Outpatient & Community Services,Home Health Care Services
"Local Passenger Transportation, Nec",621910,Hospitals & Health Care Systems,Health Care,621910 - Ambulance Services,Outpatient & Community Services,Ambulance Services
"Health And Allied Services, Nec",621991,Hospitals & Health Care Systems,Health Care,621991 - Blood and Organ Banks,Outpatient & Community Services,Blood and Organ Banks
"Health And Allied Services, Nec",621999,Hospitals & Health Care Systems,Health Care,621999 - All Other Miscellaneous Ambulatory Health Care Services,Outpatient & Community Services,All Other Miscellaneous Ambulatory Health Care Services
General Medical And Surgical Hospitals,622110,Hospitals & Health Care Systems,Health Care,622110 - General Medical and Surgical Hospitals,Hospitals & Health Care Systems,General Medical and Surgical Hospitals
Psychiatric Hospitals,622210,Hospitals & Health Care Systems,Health Care,622210 - Psychiatric and Substance Abuse Hospitals,Behavioral Health,Psychiatric and Substance Abuse Hospitals
"Specialty Hospitals, Except Psychiatric",622310,Hospitals & Health Care Systems,Health Care,622310 - Specialty (except Psychiatric and Substance Abuse) Hospitals,Hospitals & Health Care Systems,Specialty (except Psychiatric and Substance Abuse) Hospitals
Skilled Nursing Care Facilities,623110,Senior Care Services,Health Care,623110 - Nursing Care Facilities (Skilled Nursing Facilities),Senior Care Services,Nursing Care Facilities (Skilled Nursing Facilities)
Intermediate Care Facilities,623210,Hospitals & Health Care Systems,Health Care,623210 - Residential Intellectual and Developmental Disability Facilities,Behavioral Health,Residential Intellectual and Developmental Disability Facilities
Residential Care,623220,Hospitals & Health Care Systems,Health Care,623220 - Residential Mental Health and Substance Abuse Facilities,Behavioral Health,Residential Mental Health and Substance Abuse Facilities
Skilled Nursing Care Facilities,623311,Senior Care Services,Health Care,623311 - Continuing Care Retirement Communities,Senior Care Services,Continuing Care Retirement Communities
Residential Care,623312,Senior Care Services,Health Care,623312 - Assisted Living Facilities for the Elderly,Senior Care Services,Assisted Living Facilities for the Elderly
Residential Care,623990,Hospitals & Health Care Systems,Health Care,623990 - Other Residential Care Facilities,Hospitals & Health Care Systems,Other Residential Care Facilities
Individual And Family Services,624110,Nonprofit,NonProfit and Education,624110 - Child and Youth Services,Charitable/Civic/Community Organizations,Child and Youth Services
Individual And Family Services,624120,Nonprofit,NonProfit and Education,624120 - Services for the Elderly and Persons with Disabilities,Charitable/Civic/Community Organizations,Services for the Elderly and Persons with Disabilities
Individual And Family Services,624190,Nonprofit,NonProfit and Education,624190 - Other Individual and Family Services,Charitable/Civic/Community Organizations,Other Individual and Family Services
Individual And Family Services,624210,Nonprofit,NonProfit and Education,624210 - Community Food Services,Charitable/Civic/Community Organizations,Community Food Services
Individual And Family Services,624221,Nonprofit,NonProfit and Education,624221 - Temporary Shelters,Charitable/Civic/Community Organizations,Temporary Shelters
Individual And Family Services,624229,Nonprofit,NonProfit and Education,624229 - Other Community Housing Services,Charitable/Civic/Community Organizations,Other Community Housing Services
Individual And Family Services,624230,Nonprofit,NonProfit and Education,624230 - Emergency and Other Relief Services,Charitable/Civic/Community Organizations,Emergency and Other Relief Services
Job Training And Related Services,624310,Nonprofit,NonProfit and Education,624310 - Vocational Rehabilitation Services,Charitable/Civic/Community Organizations,Vocational Rehabilitation Services
Child Day Care Services,624410,Hospitals & Health Care Systems,Health Care,624410 - Child Day Care Services,Outpatient & Community Services,Child Day Care Services
Eating Places,711110,Nonprofit,NonProfit and Education,711110 - Theater Companies and Dinner Theaters,Cultural Organizations,Theater Companies and Dinner Theaters
Theatrical Producers And Services,711120,Nonprofit,NonProfit and Education,711120 - Dance Companies,Cultural Organizations,Dance Companies
Entertainers And Entertainment Groups,711130,Nonprofit,NonProfit and Education,711130 - Musical Groups and Artists,Cultural Organizations,Musical Groups and Artists
Entertainers And Entertainment Groups,711190,Nonprofit,NonProfit and Education,711190 - Other Performing Arts Companies,Cultural Organizations,Other Performing Arts Companies
"Sports Clubs, Managers, And Promoters",711211,Media & Entertainment,TMT,711211 - Sports Teams and Clubs,Entertainment,Sports Teams and Clubs
"Racing, Including Track Operation",711212,Media & Entertainment,TMT,711212 - Racetracks,Entertainment,Racetracks
"Amusement And Recreation, Nec",711219,Media & Entertainment,TMT,711219 - Other Spectator Sports,Entertainment,Other Spectator Sports
Theatrical Producers And Services,711310,Media & Entertainment,TMT,"711310 - Promoters of Performing Arts, Sports, and Similar Events with Facilities",Entertainment,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
Theatrical Producers And Services,711320,Media & Entertainment,TMT,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities",Entertainment,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
Theatrical Producers And Services,711410,Media & Entertainment,TMT,"711410 - Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",Entertainment,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
Entertainers And Entertainment Groups,711510,Media & Entertainment,TMT,"711510 - Independent Artists, Writers, and Performers",Entertainment,"Independent Artists, Writers, and Performers"
Museums And Art Galleries,712110,Nonprofit,NonProfit and Education,712110 - Museums,Cultural Organizations,Museums
Museums And Art Galleries,712120,Nonprofit,NonProfit and Education,712120 - Historical Sites,Cultural Organizations,Historical Sites
Botanical And Zoological Gardens,712130,Nonprofit,NonProfit and Education,712130 - Zoos and Botanical Gardens,Cultural Organizations,Zoos and Botanical Gardens
"Amusement And Recreation, Nec",712190,Nonprofit,NonProfit and Education,712190 - Nature Parks and Other Similar Institutions,Cultural Organizations,Nature Parks and Other Similar Institutions
Amusement Parks,713110,Media & Entertainment,TMT,713110 - Amusement and Theme Parks,Entertainment,Amusement and Theme Parks
Coin-Operated Amusement Devices,713120,Retail & Restaurants,Consumer Products,713120 - Amusement Arcades,Specialty Retail,Amusement Arcades
"Amusement And Recreation, Nec",713210,Gaming,Gaming,713210 - Casinos (except Casino Hotels),Gaming,Casinos (except Casino Hotels)
Coin-Operated Amusement Devices,713290,Gaming,Gaming,713290 - Other Gambling Industries,Gaming,Other Gambling Industries
Public Golf Courses,713910,Private Clubs,Private Clubs,713910 - Golf Courses and Country Clubs,Private Clubs,Golf Courses and Country Clubs
Hotels And Motels,713920,Private Clubs,Private Clubs,713920 - Skiing Facilities,Private Clubs,Skiing Facilities
Marinas,713930,Private Clubs,Private Clubs,713930 - Marinas,Private Clubs,Marinas
Physical Fitness Facilities,713940,Retail & Restaurants,Consumer Products,713940 - Fitness and Recreational Sports Centers,Specialty Retail,Fitness and Recreational Sports Centers
Bowling Centers,713950,Retail & Restaurants,Consumer Products,713950 - Bowling Centers,Specialty Retail,Bowling Centers
"Dance Studios, Schools, And Halls",713990,Retail & Restaurants,Consumer Products,713990 - All Other Amusement and Recreation Industries,Specialty Retail,All Other Amusement and Recreation Industries
Hotels And Motels,721110,Real Estate,Real Estate,721110 - Hotels (except Casino Hotels) and Motels,Hospitality,Hotels (except Casino Hotels) and Motels
Hotels And Motels,721120,Gaming,Gaming,721120 - Casino Hotels,Gaming,Casino Hotels
Hotels And Motels,721191,Real Estate,Real Estate,721191 - Bed-and-Breakfast Inns,Hospitality,Bed-and-Breakfast Inns
Hotels And Motels,721199,Real Estate,Real Estate,721199 - All Other Traveler Accommodation,Hospitality,All Other Traveler Accommodation
Trailer Parks And Campsites,721211,Real Estate,Real Estate,721211 - RV (Recreational Vehicle) Parks and Campgrounds,Hospitality,RV (Recreational Vehicle) Parks and Campgrounds
Sporting And Recreational Camps,721214,Real Estate,Real Estate,721214 - Recreational and Vacation Camps (except Campgrounds),Hospitality,Recreational and Vacation Camps (except Campgrounds)
Rooming And Boarding Houses,721310,Real Estate,Real Estate,"721310 - Rooming and Boarding Houses, Dormitories, and Workers' Camps",Hospitality,"Rooming and Boarding Houses, Dormitories, and Workers' Camps"
Eating Places,722310,Retail & Restaurants,Consumer Products,722310 - Food Service Contractors,Restaurants,Food Service Contractors
Eating Places,722320,Retail & Restaurants,Consumer Products,722320 - Caterers,Restaurants,Caterers
Direct Selling Establishments,722330,Retail & Restaurants,Consumer Products,722330 - Mobile Food Services,Restaurants,Mobile Food Services
Drinking Places,722410,Retail & Restaurants,Consumer Products,722410 - Drinking Places (Alcoholic Beverages),Restaurants,Drinking Places (Alcoholic Beverages)
Eating Places,722511,Retail & Restaurants,Consumer Products,722511 - Full-Service Restaurants,Restaurants,Full-Service Restaurants
Eating Places,722513,Retail & Restaurants,Consumer Products,722513 - Limited-Service Restaurants,Restaurants,Limited-Service Restaurants
Eating Places,722514,Retail & Restaurants,Consumer Products,"722514 - Cafeterias, Grill Buffets, and Buffets",Restaurants,"Cafeterias, Grill Buffets, and Buffets"
Eating Places,722515,Retail & Restaurants,Consumer Products,722515 - Snack and Nonalcoholic Beverage Bars,Restaurants,Snack and Nonalcoholic Beverage Bars
General Automotive Repair Shops,811111,Retail & Restaurants,Consumer Products,811111 - General Automotive Repair,Retail Automotive,General Automotive Repair
Auto Exhaust System Repair Shops,811112,Retail & Restaurants,Consumer Products,811112 - Automotive Exhaust System Repair,Retail Automotive,Automotive Exhaust System Repair
Automotive Transmission Repair Shops,811113,Retail & Restaurants,Consumer Products,811113 - Automotive Transmission Repair,Retail Automotive,Automotive Transmission Repair
"Automotive Repair Shops, Nec",811118,Retail & Restaurants,Consumer Products,811118 - Other Automotive Mechanical and Electrical Repair and Maintenance,Retail Automotive,Other Automotive Mechanical and Electrical Repair and Maintenance
Top And Body Repair And Paint Shops,811121,Retail & Restaurants,Consumer Products,"811121 - Automotive Body, Paint, and Interior Repair and Maintenance",Retail Automotive,"Automotive Body, Paint, and Interior Repair and Maintenance"
Automotive Glass Replacement Shops,811122,Retail & Restaurants,Consumer Products,811122 - Automotive Glass Replacement Shops,Retail Automotive,Automotive Glass Replacement Shops
"Automotive Services, Nec",811191,Retail & Restaurants,Consumer Products,811191 - Automotive Oil Change and Lubrication Shops,Retail Automotive,Automotive Oil Change and Lubrication Shops
Carwashes,811192,Retail & Restaurants,Consumer Products,811192 - Car Washes,Retail Automotive,Car Washes
Tire Retreading And Repair Shops,811198,Retail & Restaurants,Consumer Products,811198 - All Other Automotive Repair and Maintenance,Retail Automotive,All Other Automotive Repair and Maintenance
Radio And Television Repair,811211,Retail & Restaurants,Consumer Products,811211 - Consumer Electronics Repair and Maintenance,Specialty Retail,Consumer Electronics Repair and Maintenance
Computer Maintenance And Repair,811212,Retail & Restaurants,Consumer Products,811212 - Computer and Office Machine Repair and Maintenance,Specialty Retail,Computer and Office Machine Repair and Maintenance
Radio And Television Repair,811213,Retail & Restaurants,Consumer Products,811213 - Communication Equipment Repair and Maintenance,Specialty Retail,Communication Equipment Repair and Maintenance
Electrical Repair Shops,811219,Retail & Restaurants,Consumer Products,811219 - Other Electronic and Precision Equipment Repair and Maintenance,Specialty Retail,Other Electronic and Precision Equipment Repair and Maintenance
Welding Repair,811310,Manufacturing,Industrials,811310 - Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Other Industrials,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
"Repair Services, Nec",811411,Retail & Restaurants,Consumer Products,811411 - Home and Garden Equipment Repair and Maintenance,Specialty Retail,Home and Garden Equipment Repair and Maintenance
Refrigeration Service And Repair,811412,Retail & Restaurants,Consumer Products,811412 - Appliance Repair and Maintenance,Specialty Retail,Appliance Repair and Maintenance
Reupholstery And Furniture Repair,811420,Retail & Restaurants,Consumer Products,811420 - Reupholstery and Furniture Repair,Specialty Retail,Reupholstery and Furniture Repair
Shoe Repair And Shoeshine Parlors,811430,Retail & Restaurants,Consumer Products,811430 - Footwear and Leather Goods Repair,Specialty Retail,Footwear and Leather Goods Repair
"Laundry And Garment Services, Nec",811490,Retail & Restaurants,Consumer Products,811490 - Other Personal and Household Goods Repair and Maintenance,Specialty Retail,Other Personal and Household Goods Repair and Maintenance
Barber Shops,812111,Retail & Restaurants,Consumer Products,812111 - Barber Shops,Specialty Retail,Barber Shops
Beauty Shops,812112,Retail & Restaurants,Consumer Products,812112 - Beauty Salons,Specialty Retail,Beauty Salons
Beauty Shops,812113,Retail & Restaurants,Consumer Products,812113 - Nail Salons,Specialty Retail,Nail Salons
Miscellaneous Personal Services,812191,Retail & Restaurants,Consumer Products,812191 - Diet and Weight Reducing Centers,Specialty Retail,Diet and Weight Reducing Centers
Miscellaneous Personal Services,812199,Retail & Restaurants,Consumer Products,812199 - Other Personal Care Services,Specialty Retail,Other Personal Care Services
Funeral Service And Crematories,812210,Nonprofit,NonProfit and Education,812210 - Funeral Homes and Funeral Services,Religious Organizations,Funeral Homes and Funeral Services
Cemetery Subdividers And Developers,812220,Nonprofit,NonProfit and Education,812220 - Cemeteries and Crematories,Religious Organizations,Cemeteries and Crematories
Coin-Operated Laundries And Cleaning,812310,Retail & Restaurants,Consumer Products,812310 - Coin-Operated Laundries and Drycleaners,Specialty Retail,Coin-Operated Laundries and Drycleaners
"Power Laundries, Family And Commercial",812320,Retail & Restaurants,Consumer Products,812320 - Drycleaning and Laundry Services (except Coin-Operated),Specialty Retail,Drycleaning and Laundry Services (except Coin-Operated)
Linen Supply,812331,Retail & Restaurants,Consumer Products,812331 - Linen Supply,Specialty Retail,Linen Supply
Industrial Launderers,812332,Retail & Restaurants,Consumer Products,812332 - Industrial Launderers,Specialty Retail,Industrial Launderers
Animal Specialty Services,812910,Retail & Restaurants,Consumer Products,812910 - Pet Care (except Veterinary) Services,Specialty Retail,Pet Care (except Veterinary) Services
Photofinish Laboratories,812921,Retail & Restaurants,Consumer Products,812921 - Photofinishing Laboratories (except One-Hour),Specialty Retail,Photofinishing Laboratories (except One-Hour)
Photofinish Laboratories,812922,Retail & Restaurants,Consumer Products,812922 - One-Hour Photofinishing,Specialty Retail,One-Hour Photofinishing
Automobile Parking,812930,Retail & Restaurants,Consumer Products,812930 - Parking Lots and Garages,Specialty Retail,Parking Lots and Garages
Miscellaneous Personal Services,812990,Consumer Goods,Consumer Products,812990 - All Other Personal Services,Home & Leisure,All Other Personal Services
Religious Organizations,813110,Nonprofit,NonProfit and Education,813110 - Religious Organizations,Religious Organizations,Religious Organizations
"Trusts: Educational, Religious, Etc.",813211,Nonprofit,NonProfit and Education,813211 - Grantmaking Foundations,Foundations,Grantmaking Foundations
"Social Services, Nec",813212,Nonprofit,NonProfit and Education,813212 - Voluntary Health Organizations,Humanitarian and Relief Groups,Voluntary Health Organizations
"Social Services, Nec",813219,Nonprofit,NonProfit and Education,813219 - Other Grantmaking and Giving Services,Foundations,Other Grantmaking and Giving Services
"Membership Organizations, Nec",813311,Nonprofit,NonProfit and Education,813311 - Human Rights Organizations,Humanitarian and Relief Groups,Human Rights Organizations
"Membership Organizations, Nec",813312,Nonprofit,NonProfit and Education,"813312 - Environment, Conservation and Wildlife Organizations",Charitable/Civic/Community Organizations,"Environment, Conservation and Wildlife Organizations"
"Social Services, Nec",813319,Nonprofit,NonProfit and Education,813319 - Other Social Advocacy Organizations,Charitable/Civic/Community Organizations,Other Social Advocacy Organizations
Civic And Social Associations,813410,Nonprofit,NonProfit and Education,813410 - Civic and Social Organizations,Charitable/Civic/Community Organizations,Civic and Social Organizations
Business Associations,813910,Nonprofit,NonProfit and Education,813910 - Business Associations,Trade Associations,Business Associations
Professional Organizations,813920,Nonprofit,NonProfit and Education,813920 - Professional Organizations,Membership Societies,Professional Organizations
Labor Organizations,813930,Nonprofit,NonProfit and Education,813930 - Labor Unions and Similar Labor Organizations,Trade Associations,Labor Unions and Similar Labor Organizations
Political Organizations,813940,Nonprofit,NonProfit and Education,813940 - Political Organizations,Membership Societies,Political Organizations
"Membership Organizations, Nec",813990,Nonprofit,NonProfit and Education,"813990 - Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",Trade Associations,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
RSM McGladrey Private Household Tag,814110,Private Households,Private Clients - Individuals,814110 - Private Households,Private Households,Private Households
#N/A,888880,Unassigned,Unassigned,888880 - Unassigned,Unassigned,Unassigned
Executive Offices,921110,"State, Local Government",State and Local Government,921110 - Executive Offices,"Executive, Legislative and Other Support",Executive Offices
Legislative Bodies,921120,"State, Local Government",State and Local Government,921120 - Legislative Bodies,"Executive, Legislative and Other Support",Legislative Bodies
"Public Finance, Taxation, and Monetary Policy",921130,"State, Local Government",State and Local Government,921130 - Public Finance Activities,"Executive, Legislative and Other Support",Public Finance Activities
"Executive and Legislative Offices, Combined",921140,"State, Local Government",State and Local Government,"921140 - Executive and Legislative Offices, Combined","Executive, Legislative and Other Support","Executive and Legislative Offices, Combined"
"Executive and Legislative Offices, Combined",921150,Tribal Government,Gaming,921150 - American Indian and Alaska Native Tribal Governments,Tribal Government,American Indian and Alaska Native Tribal Governments
"General Government, NEC",921190,"State, Local Government",State and Local Government,921190 - Other General Government Support,"Executive, Legislative and Other Support",Other General Government Support
Police Protection,922110,"State, Local Government",State and Local Government,922110 - Courts,"Justice, Public Order, and Safety",Courts
Legal Counsel and Prosecution,922120,"State, Local Government",State and Local Government,922120 - Police Protection,"Justice, Public Order, and Safety",Police Protection
Correctional Institutions,922130,"State, Local Government",State and Local Government,922130 - Legal Counsel and Prosecution,"Justice, Public Order, and Safety",Legal Counsel and Prosecution
Fire Protection,922140,"State, Local Government",State and Local Government,922140 - Correctional Institutions,"Justice, Public Order, and Safety",Correctional Institutions
Individual And Family Services,922150,"State, Local Government",State and Local Government,922150 - Parole Offices and Probation Offices,"Justice, Public Order, and Safety",Parole Offices and Probation Offices
Fire Protection,922160,"State, Local Government",State and Local Government,922160 - Fire Protection,"Justice, Public Order, and Safety",Fire Protection
"Public Order and Safety, Nec",922190,"State, Local Government",State and Local Government,"922190 - Other Justice, Public Order, and Safety Activities","Justice, Public Order, and Safety","Other Justice, Public Order, and Safety Activities"
Administration of Educational Programs,923110,"State, Local Government",State and Local Government,923110 - Administration of Education Programs,HR Programs,Administration of Education Programs
Administration Of Public Health Programs,923120,"State, Local Government",State and Local Government,923120 - Administration of Public Health Programs,HR Programs,Administration of Public Health Programs
"Administration of Social, Human Resource and Income Maintenance Programs",923130,"State, Local Government",State and Local Government,"923130 - Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",HR Programs,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)"
"Administration of Veterans' Affairs, Except Health Insurance",923140,Federal Government,Federal Government,923140 - Administration of Veterans' Affairs,Federal Government,Administration of Veterans' Affairs
Air and Water Resource and Solid Waste Management,924110,"State, Local Government",State and Local Government,924110 - Administration of Air and Water Resource and Solid Waste Management Programs,Environmental Programs,Administration of Air and Water Resource and Solid Waste Management Programs
"Land, Mineral, Wildlife, and Forest Conservation",924120,"State, Local Government",State and Local Government,924120 - Administration of Conservation Programs,Environmental Programs,Administration of Conservation Programs
Administration of Housing Programs,925110,"State, Local Government",State and Local Government,925110 - Administration of Housing Programs,Housing Programs,Administration of Housing Programs
Administration of Urban Planning and Community and Rural Development,925120,"State, Local Government",State and Local Government,925120 - Administration of Urban Planning and Community and Rural Development,Housing Programs,Administration of Urban Planning and Community and Rural Development
Administration of General Economic Programs,926110,Federal Government,Federal Government,926110 - Administration of General Economic Programs,Federal Government,Administration of General Economic Programs
Regulation and Administration of Transportation Programs,926120,Federal Government,Federal Government,926120 - Regulation and Administration of Transportation Programs,Federal Government,Regulation and Administration of Transportation Programs
"Regulation & Administration of Communications, Electric, Gas, & Other Utilities",926130,Federal Government,Federal Government,"926130 - Regulation and Administration of Communications, Electric, Gas, and Other Utilities",Federal Government,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
Regulation of Agricultural Marketing and Commodities,926140,Federal Government,Federal Government,926140 - Regulation of Agricultural Marketing and Commodities,Federal Government,Regulation of Agricultural Marketing and Commodities
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",926150,Federal Government,Federal Government,"926150 - Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",Federal Government,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
Space Research and Technology,927110,Federal Government,Federal Government,927110 - Space Research and Technology,Federal Government,Space Research and Technology
National Security,928110,Federal Government,Federal Government,928110 - National Security,Federal Government,National Security
International Affairs,928120,Federal Government,Federal Government,928120 - International Affairs,Federal Government,International Affairs
,541713,Bio/Pharma,Life Sciences,541713 - Research and Development in Nanotechnology,Bio/Pharma,Research and Development in Nanotechnology
,541714,Bio/Pharma,Life Sciences,541714 - Research and Development in Biotechnology (except Nanobiotechnology),Bio/Pharma,Research and Development in Biotechnology (except Nanobiotechnology)
,541715,Bio/Pharma,Life Sciences,"541715 - Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Bio/Pharma,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
,517311,Telecommunications,TMT,517311 - Wired Telecommunications Carriers,Telecommunications,Wired Telecommunications Carriers
,517312,Telecommunications,TMT,517312 - Wireless Telecommunications Carriers (except Satellite),Telecommunications,Wireless Telecommunications Carriers (except Satellite)
,512250,Media & Entertainment,TMT,512250 - Record Production and Distribution,Entertainment,Record Production and Distribution
,335220,Consumer Goods,Consumer Products,335220 - Major Household Appliance Manufacturing,Home & Leisure,Major Household Appliance Manufacturing
,452210,Retail & Restaurants,Consumer Products,452210 - Department Stores,Dept. Stores & General Merchandise,Department Stores
,452311,Retail & Restaurants,Consumer Products,452311 - Warehouse Clubs and Supercenters,Dept. Stores & General Merchandise,Warehouse Clubs and Supercenters
,452319,Retail & Restaurants,Consumer Products,452319 - All Other General Merchandise Stores,Dept. Stores & General Merchandise,All Other General Merchandise Stores
,454110,Retail & Restaurants,Consumer Products,454110 - Electronic Shopping and Mail-Order Houses,Specialty Retail,Electronic Shopping and Mail-Order Houses
,532281,Retail & Restaurants,Consumer Products,532281 - Formal Wear and Costume Rental,Specialty Retail,Formal Wear and Costume Rental
,532282,Retail & Restaurants,Consumer Products,532282 - Video Tape and Disc Rental,Specialty Retail,Video Tape and Disc Rental
,532283,Retail & Restaurants,Consumer Products,532283 - Home Health Equipment Rental,Specialty Retail,Home Health Equipment Rental
,532284,Retail & Restaurants,Consumer Products,532284 - Recreational Goods Rental,Specialty Retail,Recreational Goods Rental
,532289,Retail & Restaurants,Consumer Products,532289 - All Other Consumer Goods Rental,Specialty Retail,All Other Consumer Goods Rental
,211120,Energy,Industrials,211120 - Crude Petroleum Extraction,Upstream (Oil & Gas),Crude Petroleum Extraction
,211130,Energy,Industrials,211130 - Natural Gas Extraction,Upstream (Oil & Gas),Natural Gas Extraction
,333914,Manufacturing,Industrials,"333914 - Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",Manufacturing,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing "
,212230,Energy,Industrials,"212230 - Copper, Nickel, Lead, and Zinc Mining  ",Mining,"Copper, Nickel, Lead, and Zinc Mining  "
,999990,,,999990 - Unclassified Establishments,,Unclassified Establishments
,212114,Energy,Industrials,212114 - Surface Coal Mining,Mining,Surface Coal Mining
,212115,Energy,Industrials,212115 - Underground Coal Mining,Mining,Underground Coal Mining
,212220,Energy,Industrials,212220 - Gold Ore and Silver Ore Mining,Mining,Gold Ore and Silver Ore Mining
,212290,Energy,Industrials,212290 - Other Metal Ore Mining,Mining,Other Metal Ore Mining
,212323,Energy,Industrials,"212323 - Kaolin, Clay, and Ceramic and Refractory Minerals Mining",Mining,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
,212390,Energy,Industrials,212390 - Other Nonmetallic Mineral Mining and Quarrying,Mining,Other Nonmetallic Mineral Mining and Quarrying
,315120,Consumer Goods,Consumer Products,315120 - Apparel Knitting Mills,Fashion,Apparel Knitting Mills
