mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Excavation Work,238910,Construction,Real Estate,238910 - Site Preparation Contractors,Specialty Contractors,Site Preparation Contractors
"Special Trade Contractors, Nec",238990,Construction,Real Estate,238990 - All Other Specialty Trade Contractors,Specialty Contractors,All Other Specialty Trade Contractors
Dog And Cat Food,311111,Food & Beverage,Consumer Products,311111 - Dog and Cat Food Manufacturing,Food Manufacturing,Dog and Cat Food Manufacturing
"Prepared Feeds, Nec",311119,Food & Beverage,Consumer Products,311119 - Other Animal Food Manufacturing,Food Manufacturing,Other Animal Food Manufacturing
Flour And Other Grain Mill Products,311211,Food & Beverage,Consumer Products,311211 - Flour Milling,Food Manufacturing,Flour Milling
Rice Milling,311212,Food & Beverage,Consumer Products,311212 - Rice Milling,Food Manufacturing,Rice Milling
Malt,311213,Food & Beverage,Consumer Products,311213 - Malt Manufacturing,Food Manufacturing,Malt Manufacturing
Wet Corn Milling,311221,Food & Beverage,Consumer Products,311221 - Wet Corn Milling,Food Manufacturing,Wet Corn Milling
Cottonseed Oil Mills,311224,Food & Beverage,Consumer Products,311224 - Soybean and Other Oilseed Processing,Food Manufacturing,Soybean and Other Oilseed Processing
"Vegetable Oil Mills, Nec",311225,Food & Beverage,Consumer Products,311225 - Fats and Oils Refining and Blending,Food Manufacturing,Fats and Oils Refining and Blending
Cereal Breakfast Foods,311230,Food & Beverage,Consumer Products,311230 - Breakfast Cereal Manufacturing,Food Manufacturing,Breakfast Cereal Manufacturing
Beet Sugar,311313,Food & Beverage,Consumer Products,311313 - Beet Sugar Manufacturing,Food Manufacturing,Beet Sugar Manufacturing
Raw Cane Sugar,311314,Food & Beverage,Consumer Products,311314 - Cane Sugar Manufacturing,Food Manufacturing,Cane Sugar Manufacturing
Candy And Other Confectionery Products,311340,Food & Beverage,Consumer Products,311340 - Nonchocolate Confectionery Manufacturing,Food Manufacturing,Nonchocolate Confectionery Manufacturing
Chocolate And Cocoa Products,311351,Food & Beverage,Consumer Products,311351 - Chocolate and Confectionery Manufacturing from Cacao Beans,Food Manufacturing,Chocolate and Confectionery Manufacturing from Cacao Beans
Candy And Other Confectionery Products,311352,Food & Beverage,Consumer Products,311352 - Confectionery Manufacturing from Purchased Chocolate,Food Manufacturing,Confectionery Manufacturing from Purchased Chocolate
Frozen Fruits And Vegetables,311411,Food & Beverage,Consumer Products,"311411 - Frozen Fruit, Juice, and Vegetable Manufacturing",Food Manufacturing,"Frozen Fruit, Juice, and Vegetable Manufacturing"
"Frozen Specialties, Nec",311412,Food & Beverage,Consumer Products,311412 - Frozen Specialty Food Manufacturing,Food Manufacturing,Frozen Specialty Food Manufacturing
Canned Fruits And Specialties,311421,Food & Beverage,Consumer Products,311421 - Fruit and Vegetable Canning,Food Manufacturing,Fruit and Vegetable Canning
Canned Specialties,311422,Food & Beverage,Consumer Products,311422 - Specialty Canning,Food Manufacturing,Specialty Canning
"Dehydrated Fruits, Vegetables, Soups",311423,Food & Beverage,Consumer Products,311423 - Dried and Dehydrated Food Manufacturing,Food Manufacturing,Dried and Dehydrated Food Manufacturing
Fluid Milk,311511,Food & Beverage,Consumer Products,311511 - Fluid Milk Manufacturing,Food Manufacturing,Fluid Milk Manufacturing
Creamery Butter,311512,Food & Beverage,Consumer Products,311512 - Creamery Butter Manufacturing,Food Manufacturing,Creamery Butter Manufacturing
Cheese; Natural And Processed,311513,Food & Beverage,Consumer Products,311513 - Cheese Manufacturing,Food Manufacturing,Cheese Manufacturing
"Dry, Condensed, Evaporated Products",311514,Food & Beverage,Consumer Products,"311514 - Dry, Condensed, and Evaporated Dairy Product Manufacturing",Food Manufacturing,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
